Country,C,D,E,G,GDP,HDI,CPI,RQ,CC,EF,N
Afghanistan,0,2.85,0.414,29.7,2542.853,0.51,16,10.1,6.73,51.5,41.77
Albania,0.01,5.89,0.746,33.2,14534.109,0.80,35,63.94,33.17,66.5,46.57
Algeria,0,4.01,0.672,27.6,11894.859,0.75,35,7.69,29.33,46.2,35.3
Angola,0.016,3.72,0.5,51.3,7346.304,0.58,26,16.35,13.94,50.6,29.77
Argentina,0.174,7.02,0.855,41.4,22997,0.85,45,33.65,53.37,52.2,51.27
Armenia,0.021,5.54,0.74,34.4,14176.871,0.78,42,63.46,50,67.7,49.84
Australia,0.21,9.09,0.924,34.4,52712.423,0.94,77,98.56,94.23,80.9,74.8
Austria,0.087,8.29,0.865,29.7,58684.546,0.92,77,91.35,90.87,72,74.36
Azerbaijan,0.008,2.75,0.711,33.7,15075.895,0.76,30,43.75,19.71,65.4,47.74
Bahrain,0.009,2.55,0.769,30.5,51948.07,0.85,42,67.79,56.73,66.4,58.73
Bangladesh,0.118,5.88,0.529,32.4,5330.045,0.63,26,15.38,16.35,55.6,34.48
Benin,0.039,5.09,0.478,47.8,3422.706,0.55,41,37.5,42.79,55.3,28.22
Belarus,0.241,2.88,0.838,25.2,19984.356,0.82,45,32.21,53.85,57.9,50.34
Belgium,0.125,7.64,0.902,27.4,54265.288,0.93,75,87.5,91.35,67.3,72.62
Bolivia,0.082,4.84,0.695,42.2,9064.103,0.72,31,12.5,25.96,42.3,53.24
Bosnia and Herzegovina,0.042,4.86,0.711,33,15627.11,0.78,36,47.12,30.29,61.9,42.72
Botswana,0.016,7.81,0.676,53.3,18571.806,0.74,61,65.87,75.48,69.5,34.85
Brazil,0.338,6.86,0.694,53.9,15454.34,0.77,35,48.08,42.31,51.9,51.07
Brunei Darussalam,0.003,2.76,0.702,32.5,61032.097,0.84,60,73.08,78.37,65.1,65.45
Bulgaria,0.073,7.03,0.779,40.4,24333.46,0.82,43,71.15,50.48,69,54.77
Burkina Faso,0.006,4.04,0.312,35.3,2282.256,0.45,40,37.02,49.52,59.4,28.22
Cameroon,0.085,2.85,0.547,46.6,3801.233,0.56,25,19.23,11.06,77.7,25.94
Canada,0.196,9.22,0.894,33.8,51481.186,0.93,77,95.67,93.27,63.1,74.72
Cape Verde,0,7.78,0.562,42.4,7470.874,0.67,58,44.71,79.81,57.8,33.67
Chad,0,1.61,0.288,43.3,1654.192,0.40,20,11.06,5.77,49.9,27.08
Chile,0.147,8.08,0.81,44.4,24969.159,0.85,67,84.13,83.17,75.4,57.38
China,0.672,2.26,0.657,38.5,16659.476,0.76,41,42.79,43.27,58.4,57.63
Colombia,0.444,7.13,0.682,50.4,15344.56,0.77,37,66.35,48.08,67.3,48.77
Cambodia,0.04,3.53,0.484,36,4832.715,0.59,20,30.29,9.62,52.4,32.29
"Congo, Dem. Rep.",0.02,1.13,0.496,42.1,1129.689,0.48,18,5.29,3.37,50.3,29.77
Costa Rica,0.052,8.13,0.726,48,20962.399,0.81,56,68.75,75.96,65.3,54.59
Croatia,0.054,6.57,0.805,30.4,29925.367,0.85,47,72.12,60.1,61.4,56.75
Cyprus,0.067,7.59,0.827,31.4,42236.155,0.89,58,80.77,71.63,68.1,61.57
Czech Republic,0.114,7.69,0.89,24.9,42668.037,0.90,56,86.54,68.75,73.7,65.09
