Country,C,D,E,G,GDP,HDI,CPI,RQ,CC,EF,N,AC,BFI,CredC,DebC,RDP,DEP
Afghanistan,0.0,2.85,0.414,29.7,2542.853,0.51,16,10.1,6.73,51.5,41.77,14.89,3.81,1.06,2.71,9.04,65.53
Albania,0.01,5.89,0.746,33.2,14534.109,0.8,35,63.94,33.17,66.5,46.57,40.02,12.52,8.02,26.89,22.25,56.0
Algeria,0.0,4.01,0.672,27.6,11894.859,0.75,35,7.69,29.33,46.2,35.3,42.78,4.95,3.24,19.97,17.31,54.35
Angola,0.016,3.72,0.5,51.3,7346.304,0.58,26,16.35,13.94,50.6,29.77,0.0,0.0,0.0,0.0,0.0,0.0
Argentina,0.174,7.02,0.855,41.4,22997.0,0.85,45,33.65,53.37,52.2,51.27,48.71,24.37,23.97,41.37,27.02,59.22
Armenia,0.021,5.54,0.74,34.4,14176.871,0.78,42,63.46,50.0,67.7,49.84,47.76,31.21,8.1,25.71,27.42,46.3
Australia,0.21,9.09,0.924,34.4,52712.423,0.94,77,98.56,94.23,80.9,74.8,99.52,63.74,59.69,89.96,79.32,92.41
Austria,0.087,8.29,0.865,29.7,58684.546,0.92,77,91.35,90.87,72.0,74.36,98.16,47.32,46.55,90.22,75.32,85.31
Azerbaijan,0.008,2.75,0.711,33.7,15075.895,0.76,30,43.75,19.71,65.4,47.74,28.57,15.12,5.3,24.62,21.86,63.38
Bahrain,0.009,2.55,0.769,30.5,51948.07,0.85,42,67.79,56.73,66.4,58.73,82.61,36.32,29.85,79.98,59.42,87.63
Bangladesh,0.118,5.88,0.529,32.4,5330.045,0.63,26,15.38,16.35,55.6,34.48,50.05,9.21,0.2,6.2,15.6,43.5
Belarus,0.241,2.88,0.838,25.2,19984.356,0.82,45,32.21,53.85,57.9,50.34,81.16,21.46,18.72,70.6,73.36,86.19
Belgium,0.125,7.64,0.902,27.4,54265.288,0.93,75,87.5,91.35,67.3,72.62,98.64,48.33,48.42,94.2,72.45,90.44
Benin,0.039,5.09,0.478,47.8,3422.706,0.55,41,37.5,42.79,55.3,28.22,38.49,11.36,6.14,10.6,16.22,43.08
Bolivia,0.082,4.84,0.695,42.2,9064.103,0.72,31,12.5,25.96,42.3,53.24,54.41,19.98,7.16,28.05,21.17,54.29
Bosnia and Herzegovina,0.042,4.86,0.711,33.0,15627.11,0.78,36,47.12,30.29,61.9,42.72,58.84,14.73,9.72,40.41,41.31,81.3
Botswana,0.016,7.81,0.676,53.3,18571.806,0.74,61,65.87,75.48,69.5,34.85,51.03,8.86,7.25,27.17,29.72,48.85
Brazil,0.338,6.86,0.694,53.9,15454.34,0.77,35,48.08,42.31,51.9,51.07,70.04,26.29,27.03,59.34,38.84,66.2
Bulgaria,0.073,7.03,0.779,40.4,24333.46,0.82,43,71.15,50.48,69.0,54.77,72.2,18.76,13.55,69.36,58.3,78.61
Burkina Faso,0.006,4.04,0.312,35.3,2282.256,0.45,40,37.02,49.52,59.4,28.22,43.16,10.0,4.82,12.36,27.35,57.8
Cambodia,0.04,3.53,0.484,36.0,4832.715,0.59,20,30.29,9.62,52.4,32.29,21.67,26.73,0.55,7.19,6.51,33.03
Cameroon,0.085,2.85,0.547,46.6,3801.233,0.56,25,19.23,11.06,77.7,25.94,34.59,7.7,3.05,11.25,18.64,50.03
Canada,0.196,9.22,0.894,33.8,51481.186,0.93,77,95.67,93.27,63.1,74.72,99.73,82.83,82.58,96.8,78.37,96.24
Chad,0.0,1.61,0.288,43.3,1654.192,0.4,20,11.06,5.77,49.9,27.08,21.76,3.86,2.99,3.06,13.6,0.0
Chile,0.147,8.08,0.81,44.4,24969.159,0.85,67,84.13,83.17,75.4,57.38,74.35,30.92,29.85,59.81,45.52,71.74
China,0.672,2.26,0.657,38.5,16659.476,0.76,41,42.79,43.27,58.4,57.63,79.53,21.67,19.49,65.74,35.23,62.55
Colombia,0.444,7.13,0.682,50.4,15344.56,0.77,37,66.35,48.08,67.3,48.77,45.76,21.25,13.91,25.65,24.54,54.27
"Congo, Dem. Rep.",0.02,1.13,0.496,42.1,1129.689,0.48,18,5.29,3.37,50.3,29.77,25.83,3.94,1.45,6.46,12.01,46.65
Costa Rica,0.052,8.13,0.726,48.0,20962.399,0.81,56,68.75,75.96,65.3,54.59,67.84,21.22,13.88,51.65,41.38,64.7
Croatia,0.054,6.57,0.805,30.4,29925.367,0.85,47,72.12,60.1,61.4,56.75,86.14,38.06,35.47,67.99,70.91,85.73
Cyprus,0.067,7.59,0.827,31.4,42236.155,0.89,58,80.77,71.63,68.1,61.57,88.72,24.87,22.94,57.65,59.42,80.33
Czech Republic,0.114,7.69,0.89,24.9,42668.037,0.9,56,86.54,68.75,73.7,65.09,80.99,29.52,25.0,74.99,68.05,95.74
Denmark,0.042,9.22,0.92,28.7,60378.899,0.94,87,92.31,97.6,76.7,81.08,99.92,46.31,44.72,97.36,83.57,95.05
Dominican Republic,0.083,6.54,0.666,43.7,19897.824,0.76,28,52.4,25.0,61.0,42.59,56.24,30.29,16.43,32.43,30.27,61.66
Ecuador,0.157,6.33,0.702,45.4,11923.998,0.76,38,19.71,34.62,46.9,41.98,51.25,16.66,8.66,28.42,19.55,58.17
Egypt,0.074,3.06,0.618,31.5,12445.206,0.71,35,18.75,27.88,52.5,38.58,32.78,8.76,3.33,24.76,21.05,59.39
Estonia,0.13,7.9,0.882,30.4,38479.757,0.89,74,92.79,90.38,76.6,69.3,97.99,31.84,29.35,92.44,86.71,92.99
Ethiopia,0.009,3.44,0.341,35.0,2752.7,0.49,37,16.83,39.9,53.6,23.37,34.83,10.66,0.29,4.32,8.58,76.46
Finland,0.085,9.25,0.927,27.4,50791.483,0.94,86,97.6,99.04,74.9,80.34,99.79,54.2,62.78,98.29,75.8,93.68
France,0.208,8.12,0.817,31.6,49696.096,0.9,69,90.87,88.94,63.8,73.42,94.0,45.15,40.93,84.67,68.3,81.85
Gabon,0.003,3.61,0.65,38.0,16271.87,0.7,31,14.42,17.79,56.3,27.86,58.6,7.53,5.89,16.3,38.09,54.82
Georgia,0.17,5.42,0.862,36.4,15612.859,0.81,56,82.69,74.04,75.9,48.81,61.23,27.44,14.59,39.9,46.11,68.39
Germany,0.147,8.68,0.943,31.9,56226.224,0.95,80,96.15,95.19,73.5,78.23,99.14,54.63,52.54,90.64,73.9,86.47
Ghana,0.18,6.63,0.563,43.5,5688.213,0.61,41,50.48,52.4,57.5,37.07,57.72,11.6,5.75,18.57,35.76,50.31
Greece,0.084,7.43,0.849,34.4,30916.551,0.89,48,70.67,56.25,57.7,57.07,85.47,11.19,11.97,70.74,60.06,78.76
Guatemala,0.039,5.26,0.519,48.3,8486.94,0.66,26,44.23,18.75,62.6,36.07,44.11,12.66,6.59,15.87,15.58,48.06
Haiti,0.006,4.57,0.456,41.1,3028.311,0.51,18,8.65,8.17,52.7,44.06,32.62,12.86,6.89,10.86,18.61,31.44
Honduras,0.013,5.42,0.499,52.1,5955.318,0.63,26,34.13,23.08,60.2,35.88,45.34,14.17,4.52,16.92,20.14,44.56
Hong Kong,0.202,6.02,0.657,38.5,62266.872,0.95,76,42.79,43.27,90.2,68.14,95.28,62.06,65.42,82.88,57.2,89.31
Hungary,0.041,6.63,0.821,30.6,34327.386,0.85,44,72.6,57.69,65.0,59.95,74.94,15.93,13.13,69.5,54.39,88.6
Iceland,0.01,9.58,0.926,26.8,60419.215,0.95,78,89.9,92.79,77.1,71.94,0.0,0.0,0.0,0.0,0.0,0.0
India,0.395,6.9,0.555,37.8,6991.81,0.65,41,48.56,47.6,55.2,44.81,79.88,8.15,3.0,32.72,16.46,41.63
Indonesia,0.151,6.48,0.65,39.0,12482.807,0.72,40,51.44,37.98,65.8,46.15,48.86,18.44,2.44,30.81,21.4,44.36
Iraq,0.005,3.74,0.557,29.5,11378.737,0.67,20,9.62,8.65,51.1,43.66,22.67,3.05,1.8,6.37,10.72,11.2
Ireland,0.071,9.24,0.922,32.8,91812.025,0.96,74,93.27,89.42,80.5,73.29,95.34,50.61,50.86,84.75,66.43,87.81
Israel,0.033,7.86,0.883,39.0,41785.561,0.92,60,87.02,78.85,72.8,70.86,92.81,78.84,75.02,31.01,79.35,95.59
Italy,0.109,7.52,0.793,35.9,44217.623,0.89,53,76.92,62.02,62.2,63.21,93.79,45.67,42.48,84.6,53.93,83.81
Jamaica,0.038,6.96,0.689,45.5,10990.537,0.73,43,62.02,54.33,68.6,45.52,0.0,0.0,0.0,0.0,0.0,0.0
Japan,0.065,7.99,0.851,32.9,43710.261,0.92,73,88.46,89.9,72.1,76.17,98.24,54.11,68.38,86.99,79.8,89.11
Jordan,0.033,3.93,0.667,33.7,10530.381,0.73,48,57.21,60.58,66.5,46.97,42.49,17.8,2.53,30.76,25.63,67.43
Kazakhstan,0.072,2.94,0.83,27.5,27292.246,0.83,34,61.06,43.75,65.4,50.68,58.7,28.2,19.97,39.72,43.39,69.85
Kenya,0.645,5.18,0.534,40.8,4984.57,0.6,28,41.35,24.52,55.1,38.19,81.57,19.24,5.69,37.55,60.86,67.83
