Country,AC,BFI,BMM,CredC,DebC,RDP,DEP
Afghanistan,9.65,2.05,0,0,2.6,4.33,0
Albania,,10.74,33.07,26.98,9.47,2.77,4.62
Algeria,15.72,0,31.91,10.68,38.77,2.77,0
Angola,0,0,0,0,0,0,0
Arab World,0,0,0,33.18,4.11,33.3,0
Argentina,0,4.96,,8.56,19.23,13.37,85.17
Armenia,0,40.95,31.95,17.29,7.82,27.16,40.59
Australia,9.22,98.3,21.07,0,0,0,98.3
Austria,95.94,99.95,86.52,0,0,0,99.95
Azerbaijan,0,,0,0,0,0,0
Bahrain,0,0,0,0,0,0,0
Bangladesh,0,0,0,24.91,4.42,1.92,39.26
Belarus,31.88,26.28,15.7,0,0,0,0
Belgium,0,0,0,0,0.42,92.57,0
Belize,0,49.82,0,0,0,0,0
Benin,0,0,0,28.85,20.29,3.4,11.44
Bhutan,4.72,13.02,21.44,0,0,0,0
Bolivia,0,0,0,55.94,67.96,81.34,20.01
Bosnia and Herzegovina,8.53,11.19,5.82,79.34,15.11,0,0
Botswana,0,7.39,0,0,0,0,0
Brazil,0,0,0,16.14,58.78,83.56,81.98
Bulgaria,78.3,52.42,6.21,50.94,22.31,26.13,83.97
Burkina Faso,0,29.88,0,5.66,6.57,12.62,
Burundi,13.03,4.88,5.4,0,0,0,9.08
Cambodia,0,0,0,30.88,28.49,28.49,0
Cameroon,8.41,3.73,27.26,7.73,8.82,5.21,15.1
Canada,33.95,1.32,14.34,0,81.01,81.01,1.28
Central African Republic,0,0.44,99.63,0,0,0,82.74
Chad,0,0,0,0,0,0,0
Chile,0,0,0,0,86.43,24.19,0
China,24.19,86.43,35.52,83.08,88.71,0,6.55
Colombia,30.59,88.71,30.59,59.72,,0,2.76
Comoros,0,12.81,0,,24.13,0,36.87
"Congo, Dem. Rep.",0,0,0,0,0,0,0
"Congo, Rep.",0,0,0,0,0,,0
Costa Rica,36.89,3.91,10.49,22.77,2.76,12.33,6.01
Cote d'Ivoire,57.23,0,17.46,0,14.12,0,0
Croatia,50.76,4.09,4.52,2.33,7.9,27.53,39.81
Cyprus,,22.14,0,67.53,2.07,0,3.71
Czech Republic,67.38,0,90.75,0.78,3.71,32.48,0
Denmark,0,31.33,94.94,0,0,89.05,0.57
Djibouti,76.36,0,,0,0,0,99.52
Dominican Republic,0,0,83.97,0,0,0,0
East Asia & Pacific,6.74,14.99,5.7,0,0,0,0
East Asia & Pacific (excluding high income),0,0,0,28.44,40.42,23.84,32.91
Ecuador,0,38.88,0,14.17,13.2,19.81,37
Egypt,29.32,64.18,27.01,15.87,4.97,27.62,64.18
El Salvador,14.07,,0,0.9,2.74,5.67,1.52
Estonia,66.6,11.87,2.8,7.98,43.14,9.85,2.66
Ethiopia,25.84,13.97,14,96.47,1.35,92.18,0
Euro area,23.46,8.42,3.22,33.47,1.03,5.18,59.75
Europe & Central Asia,21.77,37.31,1.47,8.59,0,0,
Europe & Central Asia (excluding high income),31.05,0,9.85,0,36.43,0,17.46
Finland,0,92.96,0,0,0,0,0
France,0,0,0,0,1.06,92.68,0
Gabon,0,65.29,0,0.54,88.94,0.63,44.36
"Gambia, The",0,86.34,0,73.73,0,0,12.81
Georgia,0,29.39,16.84,0,0,0,0
Germany,0,0,0,62.45,70.47,80.34,24.22
Ghana,4.72,7.04,17.86,99.98,24.68,0,0
Greece,0,0,0,15.08,45.7,24.76,56.52
Guatemala,2.5,13.28,69.18,0,0,94.88,91.64
Guinea,91.34,77.22,3.37,0,0,0,0
Haiti,0,0,0,5.56,6.37,12.84,
High income,82.16,72.77,78.83,32.94,26.38,26.16,0
Honduras,12.11,4.06,7.94,0,0,0,13.18
Hong Kong,0,0,0,10.32,6.82,5.77,0
Hungary,6.06,1.61,35.33,51.93,0,0,14.55
Iceland,0,0,96.46,0,18.92,18.92,0
India,53.59,1.16,88.22,73.36,0,67.68,15.92
Indonesia,67.68,98.48,57.56,1.69,77.26,11.14,94.14
"Iran, Islamic Rep.",10.57,77.03,5.86,45.86,46.93,13.22,7.75
Iraq,12.86,44.91,28.63,87.4,89.98,0.91,39.66
Ireland,24.41,89.62,24.14,18.57,,16.28,1.32
Israel,3.12,0,2.85,,4.94,99.29,46.35
Italy,54.1,0,54.1,60.52,0,92.93,0
Jamaica,0,38.19,71.39,0,78.36,,81.82
Japan,0,51.94,0,55.06,0,60.31,0
Jordan,67.69,9.39,12.04,10.36,11.81,27.03,16.81
Kazakhstan,98.49,61.19,0,69.66,88.33,87.34,93.67
